"nodes","citations","no of papers it cite"
"9605061.0","1","12"
"9801089.0","0","2"
"9808150.0","0","3"
"9906138.0","0","5"
"9404108.0","30","0"
"9412213.0","16","8"
"9407148.0","14","5"
"9503083.0","11","7"
"9609233.0","4","9"
"9806003.0","7","13"
"9807189.0","5","19"
"9502053.0","4","9"
"9909174.0","2","11"
"9601055.0","2","12"
"9505138.0","3","6"
"9508007.0","0","7"
"9510084.0","1","5"
"9603111.0","3","8"
"9405019.0","3","0"
"9707034.0","1","6"
"9512218.0","4","2"
"201008.0","1","8"
"9611071.0","3","0"
"5100.0","0","4"
"9612049.0","2","12"
"9805023.0","7","0"
"9812110.0","6","2"
"105239.0","1","2"
"7153.0","21","17"
"9090.0","7","7"
"202045.0","8","17"
"204012.0","10","29"
"303199.0","0","31"
"304163.0","0","28"
"203242.0","0","8"
"9310187.0","7","0"
"9507074.0","18","3"
"9401042.0","4","1"
"9407186.0","2","4"
"9407013.0","2","3"
"9512111.0","0","2"
"9402039.0","10","0"
"9611160.0","14","18"
"9610066.0","3","3"
"9906185.0","1","8"
"5144.0","0","7"
"111260.0","5","36"
"9612178.0","0","9"
"9403066.0","2","4"
"202121.0","1","2"
"205091.0","0","8"
"9505175.0","28","0"
"9602115.0","17","4"
"9812180.0","32","4"
"9908052.0","9","2"
"9904132.0","13","5"
"9801195.0","23","5"
"3232.0","3","10"
"9902138.0","8","3"
"9912050.0","11","10"
"9805085.0","2","5"
"9603071.0","3","3"
"103120.0","1","3"
"105126.0","0","4"
"204219.0","1","7"
"206060.0","0","28"
"207052.0","0","23"
"209240.0","1","17"
"212170.0","0","13"
"9510177.0","7","2"
"9605003.0","16","5"
"9604146.0","2","1"
"9602119.0","5","5"
"9904166.0","0","2"
"9906122.0","0","9"
"6239.0","4","8"
"9711005.0","32","3"
"9712063.0","16","9"
"9801023.0","7","14"
"10187.0","8","6"
"6245.0","3","4"
"101189.0","4","2"
"103206.0","1","5"
"108079.0","0","6"
"203121.0","0","8"
"212183.0","0","6"
"301242.0","0","5"
"302154.0","0","5"
"9802052.0","17","0"
"9802069.0","20","1"
"201171.0","1","9"
"6219.0","21","13"
"101032.0","1","3"
"9910085.0","1","5"
"9906215.0","20","7"
"9811245.0","18","1"
"2032.0","0","4"
"9904040.0","8","4"
"9812216.0","11","7"
"3035.0","2","4"
"5183.0","25","13"
"9118.0","0","5"
"108054.0","0","4"
"205200.0","16","18"
"206118.0","4","23"
"209195.0","1","12"
"211150.0","0","2"
"302217.0","0","12"
"304230.0","0","11"
"9903231.0","2","8"
"9905181.0","1","10"
"9904133.0","13","10"
"3131.0","2","12"
"10001.0","0","12"
"11261.0","1","7"
"104154.0","3","7"
"203077.0","0","11"
"1063.0","8","10"
"5152.0","7","11"
"105200.0","6","20"
"109059.0","1","15"
"4061.0","7","3"
"112034.0","9","11"
"203199.0","1","5"
"6209.0","15","2"
"7226.0","35","14"
"103024.0","3","3"
"209148.0","1","14"
"211199.0","0","14"
"7145.0","5","6"
"11257.0","5","6"
"106262.0","1","13"
"210083.0","6","34"
"302105.0","4","25"
"7007.0","11","3"
"101011.0","15","19"
"210071.0","0","1"
"202024.0","7","29"
"9312182.0","9","0"
"9501144.0","21","18"
"9403041.0","10","8"
"9601068.0","1","3"
"9406136.0","4","12"
"9404132.0","2","6"
"9408048.0","1","5"
"9502150.0","0","10"
"9505103.0","0","8"
"9906162.0","3","4"
"4136.0","1","10"
"9806040.0","7","2"
"110302.0","6","9"
"206243.0","0","5"
"202179.0","45","17"
"204234.0","10","14"
"109200.0","3","8"
"209084.0","1","11"
"104099.0","10","28"
"106010.0","26","26"
"209222.0","8","14"
"9909164.0","6","0"
"303041.0","0","1"
"303212.0","1","2"
"9206032.0","5","0"
"9301075.0","3","1"
"106287.0","2","6"
"9811113.0","1","1"
"210182.0","0","3"
"9601114.0","2","1"
"102052.0","0","2"
"205143.0","1","5"
"211003.0","0","8"
"9708120.0","13","0"
"9808023.0","2","2"
"9910079.0","5","0"
"104203.0","0","5"
"9910243.0","7","0"
"112168.0","1","8"
"206078.0","2","1"
"207057.0","0","2"
"209001.0","1","3"
"212178.0","0","2"
"9501063.0","5","0"
"9511002.0","5","1"
"9505130.0","2","1"
"9708095.0","2","2"
"9907167.0","1","5"
"9912235.0","0","4"
"9608083.0","5","3"
"9810089.0","8","4"
"9805093.0","3","2"
"9811233.0","3","2"
"9809017.0","3","2"
"112097.0","0","17"
"9405171.0","27","0"
"9802076.0","30","1"
"9811033.0","7","4"
"9906123.0","2","1"
"9906197.0","4","6"
"7102.0","1","5"
"9809109.0","4","6"
"9911101.0","2","1"
"9806119.0","14","5"
"9807216.0","12","6"
"109031.0","0","7"
"9807069.0","30","1"
"9903223.0","8","3"
"9812090.0","16","2"
"9907182.0","7","4"
"9907180.0","9","5"
"4135.0","1","7"
"5064.0","1","7"
"9808102.0","3","5"
"8093.0","1","9"
"9808127.0","6","1"
"9905147.0","6","3"
"9161.0","0","8"
"101078.0","4","7"
"105222.0","0","8"
"106102.0","0","7"
"9908178.0","0","3"
"107187.0","0","14"
"107192.0","0","1"
"109148.0","2","11"
"202145.0","0","11"
"9903251.0","0","9"
"210299.0","0","9"
"212053.0","0","3"
"301185.0","0","2"
"302141.0","0","13"
"9807167.0","0","2"
"9808089.0","0","4"
"9811115.0","0","5"
"10153.0","1","4"
"208171.0","0","17"
"2077.0","2","6"
"9066.0","0","3"
"107214.0","1","8"
"9610193.0","33","0"
"1017.0","3","3"
"9808129.0","20","2"
"9811077.0","16","6"
"9811171.0","1","5"
"9902140.0","2","2"
"1075.0","0","2"
"1163.0","2","7"
"9705176.0","11","1"
"9905079.0","6","6"
"9901037.0","1","5"
"10168.0","3","4"
"12176.0","1","4"
"9811176.0","2","6"
"108082.0","0","10"
"9704084.0","2","1"
"110076.0","0","7"
"207100.0","0","5"
"207275.0","0","2"
"211277.0","0","7"
"303092.0","0","3"
"304146.0","0","4"
"304170.0","0","2"
"9707116.0","0","1"
"9807228.0","0","2"
"9811053.0","13","1"
"104084.0","0","4"
"108047.0","0","9"
"9805010.0","0","6"
"201079.0","3","17"
"9803261.0","0","6"
"110289.0","1","12"
"2256.0","6","10"
"9806026.0","42","6"
"107132.0","0","7"
"107234.0","2","15"
"108050.0","1","25"
"112041.0","7","5"
"201170.0","1","2"
"203094.0","2","7"
"204034.0","0","6"
"204137.0","2","9"
"304071.0","0","5"
"9805178.0","5","1"
"9905007.0","5","8"
"9810140.0","0","4"
"9809193.0","4","7"
"201265.0","2","9"
"208081.0","1","15"
"304211.0","0","3"
"203268.0","7","32"
"9810145.0","4","2"
"9904134.0","5","1"
"9907148.0","0","3"
"5035.0","0","6"
"9812013.0","33","0"
"102051.0","6","4"
"9905220.0","3","4"
"111224.0","2","7"
"206222.0","0","6"
"302183.0","0","4"
"304072.0","0","35"
"10049.0","1","9"
"9807029.0","1","7"
"9901127.0","0","2"
"9702025.0","6","1"
"9901016.0","2","2"
"9708138.0","4","3"
"9906165.0","1","3"
"9803034.0","5","2"
"9805090.0","2","5"
"9905058.0","0","5"
"9710180.0","14","3"
"9807016.0","7","1"
"108123.0","1","6"
"206169.0","0","4"
"210116.0","0","3"
"9908209.0","0","5"
"1145.0","8","7"
"9812161.0","9","13"
"9910146.0","4","7"
"212347.0","0","7"
"1008.0","1","3"
"6118.0","0","1"
"9301008.0","2","0"
"9707147.0","0","1"
"9301014.0","4","0"
"9711154.0","0","1"
"9807002.0","0","6"
"9303112.0","17","0"
"9409139.0","13","3"
"9507046.0","9","2"
"5122.0","7","6"
"9901163.0","2","2"
"9911126.0","1","4"
"9407130.0","6","2"
"9707175.0","6","3"
"9805116.0","3","7"
"101163.0","3","5"
"9511166.0","3","6"
"9401036.0","5","2"
"9602015.0","3","4"
"202034.0","0","10"
"301108.0","0","3"
"9310092.0","0","2"
"9409140.0","0","1"
"9610097.0","0","4"
"8181.0","2","2"
"9911014.0","2","3"
"102083.0","2","6"
"107205.0","0","3"
"4032.0","4","5"
"101053.0","1","3"
"103040.0","0","5"
"9202013.0","5","0"
"9512083.0","2","3"
"9404061.0","5","3"
"9208073.0","0","1"
"9303004.0","0","1"
"9604145.0","0","3"
"9202057.0","44","0"
"9601116.0","8","4"
"9601141.0","6","5"
"9701065.0","5","8"
"9903130.0","7","7"
"9309154.0","14","3"
"9902157.0","13","14"
"9411093.0","3","5"
"5277.0","6","7"
"9302023.0","21","2"
"7208.0","3","1"
"9705141.0","1","1"
"9210109.0","12","1"
"102039.0","2","7"
"103190.0","2","6"
"9503229.0","5","17"
"9510184.0","5","3"
"9611167.0","3","3"
"9702066.0","2","4"
"105164.0","2","10"
"106135.0","2","3"
"107053.0","0","3"
"109022.0","1","3"
"112125.0","1","11"
"203245.0","1","14"
"208132.0","1","11"
"209110.0","0","8"
"9311028.0","0","4"
"9405104.0","3","1"
"210190.0","0","2"
"9309121.0","0","2"
"9310018.0","3","2"
"9311013.0","0","1"
"9406044.0","0","2"
"9407107.0","0","4"
"9501023.0","0","2"
"9505011.0","1","6"
"9505071.0","1","3"
"9507078.0","0","2"
"9510242.0","3","6"
"9606141.0","6","2"
"9607035.0","1","3"
"9609063.0","0","5"
"9701097.0","0","5"
"9803213.0","0","4"
"9212147.0","1","0"
"9303068.0","2","0"
"112120.0","1","1"
"9311011.0","1","0"
"11096.0","1","3"
"9205074.0","3","0"
"9610215.0","3","0"
"7139.0","0","1"
"302229.0","0","1"
"9812222.0","0","3"
"9608174.0","11","0"
"10195.0","2","11"
"9702057.0","3","1"
"9904171.0","1","5"
"304096.0","0","2"
"9911170.0","5","8"
"4076.0","6","9"
"10130.0","1","3"
"9505176.0","1","0"
"9710160.0","0","2"
"9908118.0","0","2"
"210268.0","0","4"
"9911206.0","24","3"
"9610187.0","5","1"
"201071.0","0","4"
"9808055.0","4","5"
"9611043.0","4","0"
"304023.0","0","4"
"9612182.0","12","3"
"10055.0","1","4"
"104208.0","9","6"
"111274.0","10","5"
"9802107.0","6","6"
"202135.0","8","37"
"208151.0","0","9"
"210132.0","1","6"
"2167.0","3","3"
"3222.0","0","5"
"9907099.0","2","11"
"9910003.0","3","5"
"201109.0","2","15"
"207020.0","2","5"
"303098.0","0","2"
"9811161.0","0","2"
"9801079.0","3","4"
"101076.0","24","6"
"9802116.0","41","2"
"203004.0","6","4"
"9906105.0","3","9"
"202111.0","58","6"
"9712224.0","0","3"
"9709122.0","12","15"
"9808061.0","28","10"
"9712164.0","6","4"
"210080.0","1","14"
"2183.0","5","7"
"9803138.0","20","3"
"9806101.0","0","2"
"210163.0","1","7"
"9807109.0","11","1"
"9902047.0","5","4"
"9811017.0","14","5"
"9903022.0","8","10"
"9903049.0","9","6"
"9901105.0","3","14"
"9901107.0","5","19"
"9907090.0","8","8"
"4054.0","0","4"
"5056.0","0","6"
"9908141.0","45","2"
"9612222.0","39","2"
"9806139.0","3","3"
"9704017.0","10","2"
"9711073.0","13","9"
"5157.0","3","6"
"9701168.0","11","3"
"10254.0","0","7"
"9904089.0","2","7"
"11013.0","4","7"
"11175.0","4","7"
"9811038.0","4","6"
"102168.0","10","11"
"106103.0","3","14"
"108041.0","2","7"
"108181.0","0","14"
"109160.0","0","20"
"111263.0","1","1"
"203277.0","1","10"
"204078.0","1","10"
"206226.0","0","17"
"212270.0","0","6"
"9709005.0","4","3"
"303240.0","0","3"
"9708021.0","0","8"
"9708033.0","0","8"
"9904111.0","0","8"
"9910056.0","6","6"
"207070.0","0","6"
"9712079.0","3","4"
"9701125.0","111","1"
"6242.0","5","14"
"6067.0","6","10"
"105277.0","7","12"
"106244.0","1","7"
"108169.0","8","11"
"109030.0","6","2"
"110092.0","2","10"
"111099.0","1","4"
"201106.0","2","16"
"208121.0","2","4"
"210146.0","2","22"
"9704114.0","23","2"
"9710014.0","37","2"
"107200.0","8","8"
"9808094.0","0","3"
"107113.0","2","12"
"9803117.0","27","0"
"9804199.0","22","2"
"9902113.0","13","4"
"3280.0","9","14"
"11211.0","2","7"
"101071.0","7","7"
"105284.0","4","12"
"108128.0","1","22"
"206069.0","0","7"
"9803265.0","44","0"
"9903246.0","9","21"
"9809119.0","6","3"
"101126.0","30","48"
"110105.0","0","2"
"211108.0","0","7"
"9809079.0","0","3"
"9907107.0","8","2"
"6098.0","5","12"
"9811209.0","3","4"
"9907169.0","2","7"
"107084.0","3","14"
"9910153.0","0","5"
"9905050.0","9","1"
"9910236.0","0","3"
"10042.0","7","5"
"202058.0","4","2"
"212219.0","3","12"
"9911249.0","3","19"
"9912103.0","5","8"
"112043.0","1","13"
"9705014.0","4","3"
"9811200.0","0","17"
"9811029.0","0","1"
"9711031.0","3","2"
"9803150.0","0","4"
"9912085.0","2","10"
"9803204.0","3","12"
"9806108.0","29","6"
"3161.0","5","14"
"107215.0","3","5"
"112027.0","1","5"
"1032.0","15","3"
"9308139.0","42","0"
"9601064.0","3","5"
"9409089.0","194","1"
"9403137.0","12","10"
"9309145.0","77","1"
"9506138.0","12","13"
"9511116.0","4","4"
"9505074.0","5","13"
"9412131.0","2","11"
"9702068.0","3","5"
"9507094.0","3","12"
"9501071.0","22","43"
"9502098.0","12","18"
"9412138.0","8","9"
"9508151.0","5","12"
"9502074.0","9","6"
"9511227.0","6","11"
"9411020.0","4","29"
"9705100.0","2","6"
"9408039.0","4","11"
"9310157.0","1","4"
"9412003.0","2","5"
"9504149.0","1","13"
"9507035.0","1","7"
"9510115.0","0","8"
"9405069.0","19","0"
"3301.0","3","2"
"9807151.0","2","1"
"4129.0","0","1"
"108149.0","0","3"
"9507007.0","2","4"
"9512107.0","3","3"
"9512044.0","0","1"
"9905177.0","39","5"
"1161.0","1","4"
"9912055.0","10","9"
"9806039.0","43","1"
"9902088.0","29","6"
"9907012.0","12","11"
"3058.0","7","2"
"5089.0","3","5"
"6211.0","7","3"
"7123.0","1","3"
"9507009.0","2","16"
"9063.0","4","4"
"10252.0","35","9"
"11284.0","1","5"
"12028.0","2","3"
"12052.0","29","8"
"12101.0","1","3"
"101073.0","21","17"
"101083.0","20","12"
"9910185.0","5","8"
"104241.0","4","1"
"201174.0","6","22"
"110198.0","2","6"
"111142.0","5","2"
"201002.0","0","6"
"9412159.0","2","10"
"9811243.0","3","2"
"9907002.0","0","3"
"9811051.0","8","4"
"209220.0","0","5"
"210295.0","0","6"
"210300.0","0","15"
"211037.0","0","2"
"211073.0","2","18"
"211221.0","1","13"
"211253.0","0","6"
"212209.0","5","12"
"9510212.0","0","2"
"9511214.0","0","19"
"9803180.0","0","3"
"9904164.0","2","4"
"9911185.0","0","1"
"9902202.0","6","7"
"9910113.0","8","4"
"12230.0","2","13"
"9808128.0","5","7"
"9804057.0","2","7"
"208059.0","0","5"
"9703208.0","10","3"
"9712105.0","22","7"
"111278.0","6","10"
"208029.0","8","27"
"9703053.0","2","5"
"209137.0","2","17"
"9711081.0","12","2"
"205174.0","14","6"
"9907083.0","0","5"
"9608042.0","2","0"
"9706031.0","5","4"
"101058.0","1","4"
"111181.0","4","9"
"201017.0","4","13"
"204049.0","3","7"
"304203.0","0","3"
"9811116.0","0","9"
"9805071.0","12","4"
"106028.0","3","6"
"201107.0","0","14"
"212048.0","0","3"
"9709089.0","2","5"
"9905160.0","0","2"
"1076.0","0","10"
"9807232.0","17","6"
"9812120.0","2","1"
"208175.0","0","6"
"208232.0","7","14"
"210261.0","0","8"
"4194.0","5","7"
"9811254.0","7","11"
"9011.0","2","4"
"9193.0","5","9"
"103242.0","2","19"
"206059.0","23","11"
"209145.0","5","29"
"9810158.0","1","8"
"9910211.0","0","3"
"9911221.0","12","21"
"9806186.0","3","14"
"3265.0","5","14"
"9902001.0","0","8"
"9706130.0","4","2"
"9204083.0","52","0"
"9310144.0","14","2"
"2093.0","1","12"
"4036.0","6","1"
"9707081.0","6","10"
"9511112.0","3","3"
"9238.0","0","2"
"9304060.0","7","1"
"9305095.0","7","3"
"11050.0","1","7"
"11248.0","0","9"
"9403126.0","2","2"
"9811110.0","2","5"
"9611105.0","2","11"
"9305080.0","6","5"
"9311156.0","11","4"
"304204.0","0","8"
"9308039.0","0","2"
"9311064.0","4","4"
"9311144.0","2","6"
"9401005.0","1","3"
"9402135.0","0","1"
"9406121.0","1","3"
"9503036.0","2","5"
"9503109.0","4","12"
"9510064.0","0","2"
"9510155.0","3","22"
"9511199.0","1","6"
"9612209.0","0","4"
"9706178.0","0","2"
"9802048.0","0","5"
"9712050.0","19","1"
"12270.0","1","4"
"101080.0","0","15"
"9605234.0","60","8"
"9610045.0","9","12"
"9605112.0","20","3"
"205316.0","8","14"
"9708136.0","0","4"
"9702075.0","3","8"
"9705063.0","3","6"
"9707157.0","4","7"
"9711072.0","7","9"
"4086.0","1","3"
"9902072.0","2","5"
"9812074.0","2","8"
"9704054.0","20","6"
"9019.0","14","10"
"210275.0","0","8"
"9702109.0","11","10"
"9802163.0","5","26"
"9712180.0","8","10"
"9801141.0","8","6"
"9906247.0","2","11"
"9608065.0","0","6"
"9806116.0","0","3"
"9810172.0","0","2"
"9706107.0","5","7"
"9801029.0","2","4"
"9705079.0","4","9"
"9711196.0","2","2"
"9611164.0","45","0"
"9612121.0","87","0"
"9810081.0","4","6"
"6032.0","0","5"
"8180.0","0","3"
"9078.0","0","3"
"211065.0","1","5"
"9804183.0","0","10"
"9709171.0","2","3"
"9810021.0","8","18"
"106217.0","5","15"
"108085.0","3","7"
"212250.0","0","4"
"9709225.0","10","9"
"9806028.0","25","5"
"9711037.0","34","3"
"9807060.0","6","3"
"9909220.0","3","4"
"9710240.0","6","8"
"8146.0","1","6"
"9809165.0","2","12"
"11178.0","0","5"
"9806109.0","8","8"
"9901033.0","4","5"
"106167.0","1","12"
"203229.0","28","17"
"301035.0","2","7"
"9705066.0","0","2"
"9711063.0","8","1"
"9811105.0","0","2"
"9903099.0","0","8"
"9808046.0","0","10"
"9057.0","0","2"
"9710226.0","22","8"
"9712013.0","8","8"
"9712238.0","5","10"
"9806018.0","13","7"
"304046.0","0","36"
"9811204.0","0","9"
"9706177.0","4","0"
"106013.0","4","13"
"303233.0","0","18"
"9907037.0","0","1"
"6234.0","4","5"
"207199.0","1","8"
"9807035.0","2","4"
"101093.0","11","0"
"109077.0","2","3"
"111236.0","0","16"
"9603053.0","46","0"
"1148.0","0","4"
"9605001.0","32","8"
"3006.0","14","6"
"9701078.0","17","9"
"9712095.0","5","20"
"9701096.0","7","3"
"9705153.0","6","4"
"5260.0","0","1"
"9701081.0","8","7"
"9706105.0","5","15"
"9909026.0","0","16"
"9803199.0","0","7"
"101130.0","1","7"
"101184.0","0","3"
"101217.0","0","7"
"104038.0","2","3"
"9801143.0","1","2"
"9610035.0","7","5"
"9701179.0","3","6"
"109124.0","0","7"
"9604115.0","4","4"
"9607005.0","2","6"
"9612228.0","4","6"
"9606056.0","6","2"
"206007.0","1","11"
"206142.0","0","3"
"9605129.0","2","1"
"9610114.0","2","2"
"9807089.0","0","3"
"9906132.0","0","2"
"9910193.0","0","3"
"9709042.0","6","0"
"9710041.0","4","8"
"301213.0","0","19"
"9710153.0","8","1"
"9903112.0","6","2"
"9711122.0","2","2"
"205002.0","1","2"
"9803017.0","2","5"
"9511218.0","3","2"
"9610120.0","2","2"
"304173.0","0","2"
"9601004.0","0","2"
"9809075.0","0","1"
"9711128.0","10","5"
"9701011.0","5","3"
"106021.0","4","20"
"209175.0","1","7"
"212174.0","0","13"
"2258.0","0","6"
"106222.0","0","1"
"201117.0","3","5"
"9708091.0","3","10"
"9804168.0","9","10"
"9710142.0","19","6"
"9909020.0","6","6"
"111062.0","2","18"
"210241.0","1","22"
"9711068.0","2","2"
"9906098.0","9","4"
"9912044.0","3","4"
"9805115.0","3","3"
"9810097.0","0","3"
"9711002.0","66","3"
"9909152.0","3","6"
"9903221.0","4","4"
"5173.0","5","2"
"9807223.0","2","4"
"6135.0","1","2"
"8035.0","2","4"
"9152.0","5","25"
"9903208.0","3","12"
"111232.0","0","1"
"202178.0","1","13"
"9810171.0","4","8"
"206173.0","3","20"
"9712209.0","0","4"
"9810222.0","0","11"
"9908203.0","1","7"
"9808188.0","15","4"
"106248.0","0","3"
"8201.0","4","9"
"9306069.0","67","11"
"9506206.0","7","19"
"9401070.0","68","2"
"9405162.0","7","6"
"9402125.0","8","3"
"9407008.0","7","2"
"12017.0","0","4"
"110294.0","1","7"
"9703044.0","1","5"
"208004.0","0","10"
"9307140.0","2","6"
"9306083.0","3","13"
"9312194.0","4","5"
"9412189.0","0","16"
"9512148.0","2","9"
"9602124.0","0","4"
"9602125.0","0","4"
"9606152.0","1","22"
"9807182.0","3","2"
"210133.0","0","19"
"9901141.0","1","3"
"9411021.0","24","1"
"9411025.0","16","3"
"9605140.0","3","13"
"9809197.0","4","5"
"9510210.0","9","6"
"111280.0","1","5"
"9609216.0","2","3"
"207200.0","1","5"
"9411232.0","1","5"
"212128.0","0","9"
"303086.0","0","7"
"9503041.0","5","5"
"9604012.0","1","1"
"9605005.0","2","6"
"9502092.0","6","4"
"9504013.0","4","2"
"9512166.0","3","6"
"9512225.0","1","8"
"9601022.0","2","12"
"9602141.0","0","4"
"9609007.0","0","11"
"9610029.0","0","9"
"9411100.0","6","1"
"9610126.0","3","1"
"9903202.0","0","3"
"204170.0","0","5"
"111161.0","5","4"
"9611060.0","1","3"
"9707002.0","4","0"
"106218.0","2","5"
"107066.0","1","10"
"209187.0","1","1"
"3200.0","2","8"
"303091.0","0","4"
"8030.0","9","5"
"9811112.0","2","11"
"111013.0","3","3"
"302162.0","1","19"
"9612205.0","4","1"
"9803003.0","7","3"
"9812184.0","3","1"
"112220.0","1","6"
"103116.0","3","5"
"106067.0","8","6"
"111036.0","2","2"
"301065.0","0","10"
"205254.0","4","5"
"210278.0","2","19"
"9809039.0","14","0"
"107222.0","1","5"
"111068.0","7","1"
"210178.0","3","4"
"102123.0","5","11"
"9907055.0","8","2"
"110183.0","4","3"
"111005.0","0","3"
"212035.0","0","9"
"9207011.0","12","0"
"9407026.0","4","5"
"9503125.0","1","12"
"9403119.0","4","8"
"9212027.0","3","2"
"9403050.0","11","4"
"9308011.0","0","4"
"9309028.0","7","0"
"9411213.0","0","2"
"9607047.0","0","6"
"9410105.0","4","3"
"9503002.0","15","13"
"9610059.0","3","5"
"9704192.0","1","11"
"9408018.0","0","3"
"1068.0","11","11"
"9905218.0","5","6"
"9707061.0","24","2"
"9912222.0","8","11"
"2029.0","2","11"
"2204.0","3","6"
"3273.0","8","10"
"5126.0","6","2"
"5265.0","9","8"
"6017.0","1","12"
"7048.0","9","11"
"12199.0","3","6"
"12236.0","5","12"
"103191.0","5","17"
"110074.0","2","14"
"111106.0","4","13"
"202203.0","2","7"
"206148.0","1","12"
"209207.0","0","6"
"212039.0","0","9"
"212142.0","0","10"
"212295.0","0","14"
"212311.0","0","6"
"9701008.0","24","1"
"9703127.0","23","14"
"9702111.0","26","5"
"9712067.0","5","3"
"9712002.0","0","1"
"9612027.0","2","2"
"9912226.0","4","7"
"1169.0","3","14"
"9902171.0","4","8"
"9904097.0","3","8"
"9907170.0","6","3"
"204052.0","0","2"
"9711018.0","0","1"
"9806198.0","5","2"
"9711044.0","2","6"
"9802018.0","1","6"
"9810164.0","2","3"
"9901072.0","2","2"
"9912019.0","16","2"
"104095.0","3","26"
"207166.0","2","12"
"207180.0","1","9"
"211148.0","1","6"
"211258.0","1","7"
"9903239.0","15","3"
"102022.0","6","17"
"103006.0","1","6"
"9810147.0","13","0"
"3137.0","13","13"
"3270.0","1","4"
"4115.0","13","17"
"9902037.0","7","3"
"106018.0","2","11"
"108216.0","1","6"
"209221.0","0","6"
"9911098.0","35","3"
"1182.0","21","5"
"12171.0","17","13"
"102101.0","8","5"
"109195.0","0","10"
"202011.0","4","32"
"203141.0","0","14"
"211076.0","1","20"
"301084.0","0","12"
"101159.0","5","5"
"112127.0","3","28"
"202040.0","2","8"
"2075.0","97","3"
"201135.0","1","26"
"9906225.0","3","4"
"301100.0","0","4"
"9906189.0","2","4"
"105191.0","5","3"
"207025.0","1","3"
"104168.0","5","12"
"210072.0","3","10"
"205153.0","3","12"
"5253.0","8","8"
"103074.0","5","6"
"106121.0","9","18"
"109018.0","2","4"
"110046.0","4","10"
"110215.0","4","22"
"202087.0","16","9"
"207108.0","2","15"
"208213.0","0","15"
"212123.0","0","10"
"9910083.0","1","3"
"4130.0","3","10"
"7228.0","0","5"
"102002.0","0","7"
"105274.0","6","4"
"112210.0","1","7"
"212012.0","0","9"
"301029.0","0","3"
"304045.0","2","35"
"204165.0","0","3"
"5282.0","3","7"
"1047.0","2","3"
"111285.0","3","6"
"101152.0","10","9"
"108093.0","4","5"
"212194.0","0","3"
"304120.0","0","11"
"9205059.0","7","0"
"9303093.0","15","3"
"9304069.0","0","2"
"9410164.0","4","3"
"9501135.0","4","4"
"9506022.0","3","5"
"9206053.0","10","0"
"9403141.0","24","5"
"9811090.0","3","5"
"9602148.0","2","3"
"9607120.0","2","5"
"204142.0","0","3"
"9707229.0","0","3"
"9906116.0","0","6"
"9212004.0","1","2"
"9501019.0","1","7"
"9302035.0","8","0"
"9405136.0","10","5"
"9412176.0","3","6"
"9810189.0","1","9"
"9408076.0","6","4"
"9503198.0","2","6"
"9601034.0","1","1"
"9604131.0","3","7"
"9606151.0","0","6"
"3247.0","0","4"
"9601161.0","2","7"
"301038.0","6","1"
"302211.0","0","7"
"9803161.0","1","1"
"9512125.0","1","9"
"9606158.0","0","2"
"9605105.0","2","4"
"9904141.0","0","9"
"9608040.0","2","5"
"9506136.0","37","0"
"2185.0","1","7"
"9903134.0","2","5"
"5027.0","3","6"
"9509026.0","5","5"
"102024.0","1","8"
"9904194.0","1","5"
"104220.0","1","9"
"202032.0","2","3"
"202117.0","0","5"
"9706116.0","0","2"
"9507109.0","9","0"
"9709034.0","18","4"
"9807236.0","6","8"
"9906010.0","7","4"
"9910128.0","0","5"
"102079.0","4","6"
"9704213.0","5","9"
"6156.0","4","11"
"102180.0","1","5"
"9204088.0","5","0"
"9410084.0","4","4"
"9512023.0","3","5"
"9206047.0","17","0"
"9211114.0","20","1"
"9409130.0","4","2"
"9905202.0","1","2"
"9306089.0","6","2"
"9712090.0","4","4"
"204181.0","1","3"
"9208021.0","0","1"
"9304112.0","2","2"
"9502039.0","0","1"
"9504085.0","2","4"
"9911232.0","0","3"
"9208027.0","84","0"
"9412228.0","52","20"
"9305087.0","3","3"
"9601124.0","8","4"
"9309142.0","23","1"
"9511153.0","3","9"
"9304057.0","44","1"
"9701171.0","6","4"
"9148.0","105","16"
"9303067.0","26","1"
"12150.0","4","9"
"101207.0","8","7"
"103089.0","13","13"
"9410014.0","3","3"
"106033.0","4","22"
"9405112.0","5","8"
"9301097.0","17","6"
"111129.0","31","28"
"201035.0","2","14"
"201249.0","1","18"
"203185.0","0","8"
"205098.0","22","20"
"205163.0","2","14"
"207093.0","0","8"
"210054.0","1","14"
"210270.0","0","15"
"211040.0","0","17"
"9305105.0","0","2"
"9308001.0","2","5"
"9606153.0","3","7"
"9703054.0","0","15"
"9205034.0","14","0"
"9403026.0","10","1"
"9308134.0","6","1"
"9412168.0","0","3"
"9703091.0","0","4"
"9211016.0","4","0"
"9712194.0","1","13"
"9305043.0","9","0"
"9607225.0","0","4"
"9311083.0","1","0"
"9208075.0","3","0"
"303132.0","0","1"
"9502108.0","1","11"
"9306044.0","23","0"
"9612039.0","7","9"
"9611238.0","24","4"
"9605065.0","9","6"
"9607046.0","14","4"
"9709028.0","6","4"
"9712033.0","2","12"
"9308057.0","12","3"
"8044.0","8","7"
"9603011.0","10","16"
"9909153.0","2","5"
"102209.0","0","8"
"9707091.0","9","10"
"9405014.0","10","2"
"9510171.0","8","9"
"9609080.0","2","4"
"204097.0","1","8"
"9501029.0","7","11"
